Distrito local,Cve Mpio,Nombre Municipio,Secc,Listado Nominal Total,PRIO
13,102,Tuxtla Gutiérrez ,1717,2703,SI
1,102,Tuxtla Gutiérrez ,2161,2681,SI
13,102,Tuxtla Gutiérrez ,2203,2657,SI
13,102,Tuxtla Gutiérrez ,2202,2632,SI
1,102,Tuxtla Gutiérrez ,1660,2627,SI
13,102,Tuxtla Gutiérrez ,2205,2613,SI
13,102,Tuxtla Gutiérrez ,1734,2608,SI
13,102,Tuxtla Gutiérrez ,1673,2596,SI
13,102,Tuxtla Gutiérrez ,1732,2552,SI
1,102,Tuxtla Gutiérrez ,1623,2548,SI
2,102,Tuxtla Gutiérrez ,1637,2517,SI
1,102,Tuxtla Gutiérrez ,1607,2495,SI
2,102,Tuxtla Gutiérrez ,1641,2443,SI
1,102,Tuxtla Gutiérrez ,1612,2429,SI
1,102,Tuxtla Gutiérrez ,1624,2393,SI
13,102,Tuxtla Gutiérrez ,1707,2375,SI
1,102,Tuxtla Gutiérrez ,1662,2360,SI
13,102,Tuxtla Gutiérrez ,2194,2341,SI
13,102,Tuxtla Gutiérrez ,2385,2324,NO
2,102,Tuxtla Gutiérrez ,1636,2292,NO
13,102,Tuxtla Gutiérrez ,2381,2249,NO
13,102,Tuxtla Gutiérrez ,2384,2241,NO
2,102,Tuxtla Gutiérrez ,1613,2235,NO
1,102,Tuxtla Gutiérrez ,2162,2218,NO
13,102,Tuxtla Gutiérrez ,1700,2216,NO
1,102,Tuxtla Gutiérrez ,1620,2215,NO
13,102,Tuxtla Gutiérrez ,2116,2200,NO
2,102,Tuxtla Gutiérrez ,1634,2191,NO
2,102,Tuxtla Gutiérrez ,2149,2167,NO
13,102,Tuxtla Gutiérrez ,2193,2128,NO
13,102,Tuxtla Gutiérrez ,2379,2120,NO
1,102,Tuxtla Gutiérrez ,2163,2057,NO
1,102,Tuxtla Gutiérrez ,2022,2056,NO
13,102,Tuxtla Gutiérrez ,1704,2041,NO
1,102,Tuxtla Gutiérrez ,1618,2031,NO
1,102,Tuxtla Gutiérrez ,1631,2009,NO
1,102,Tuxtla Gutiérrez ,1686,2009,NO
2,102,Tuxtla Gutiérrez ,1639,1983,NO
13,102,Tuxtla Gutiérrez ,2195,1946,NO
1,102,Tuxtla Gutiérrez ,1653,1943,NO
2,102,Tuxtla Gutiérrez ,2150,1887,NO
13,102,Tuxtla Gutiérrez ,2117,1876,NO
13,102,Tuxtla Gutiérrez ,2382,1846,NO
2,102,Tuxtla Gutiérrez ,1647,1829,NO
2,102,Tuxtla Gutiérrez ,1646,1819,NO
13,102,Tuxtla Gutiérrez ,1720,1815,NO
13,102,Tuxtla Gutiérrez ,1733,1799,NO
13,102,Tuxtla Gutiérrez ,2380,1796,NO
1,102,Tuxtla Gutiérrez ,1619,1775,NO
1,102,Tuxtla Gutiérrez ,1630,1760,NO
13,102,Tuxtla Gutiérrez ,1727,1757,NO
13,102,Tuxtla Gutiérrez ,2204,1739,NO
2,102,Tuxtla Gutiérrez ,1644,1730,NO
13,102,Tuxtla Gutiérrez ,2191,1723,NO
13,102,Tuxtla Gutiérrez ,1714,1704,NO
2,102,Tuxtla Gutiérrez ,1633,1699,NO
2,102,Tuxtla Gutiérrez ,1632,1660,NO
13,102,Tuxtla Gutiérrez ,1651,1658,NO
13,102,Tuxtla Gutiérrez ,1705,1653,NO
13,102,Tuxtla Gutiérrez ,1689,1632,NO
13,102,Tuxtla Gutiérrez ,1716,1621,NO
2,102,Tuxtla Gutiérrez ,1739,1606,NO
1,102,Tuxtla Gutiérrez ,2132,1599,NO
13,102,Tuxtla Gutiérrez ,1708,1596,NO
2,102,Tuxtla Gutiérrez ,2148,1594,NO
13,102,Tuxtla Gutiérrez ,1713,1594,NO
13,102,Tuxtla Gutiérrez ,1726,1577,NO
13,102,Tuxtla Gutiérrez ,2192,1557,NO
13,102,Tuxtla Gutiérrez ,1712,1551,NO
1,102,Tuxtla Gutiérrez ,1626,1547,NO
13,102,Tuxtla Gutiérrez ,1664,1536,NO
13,102,Tuxtla Gutiérrez ,1666,1531,NO
13,102,Tuxtla Gutiérrez ,1690,1523,NO
13,102,Tuxtla Gutiérrez ,1715,1519,NO
13,102,Tuxtla Gutiérrez ,1721,1514,NO
1,102,Tuxtla Gutiérrez ,1655,1510,NO
13,102,Tuxtla Gutiérrez ,1728,1507,NO
1,102,Tuxtla Gutiérrez ,2131,1497,NO
1,102,Tuxtla Gutiérrez ,1684,1488,NO
2,102,Tuxtla Gutiérrez ,1645,1475,NO
1,102,Tuxtla Gutiérrez ,1628,1459,NO
1,102,Tuxtla Gutiérrez ,2017,1440,NO
13,102,Tuxtla Gutiérrez ,1718,1433,NO
1,102,Tuxtla Gutiérrez ,2024,1430,NO
13,102,Tuxtla Gutiérrez ,1702,1411,NO
13,102,Tuxtla Gutiérrez ,1683,1407,NO
13,102,Tuxtla Gutiérrez ,1682,1392,NO
13,102,Tuxtla Gutiérrez ,2383,1386,NO
13,102,Tuxtla Gutiérrez ,1649,1384,NO
13,102,Tuxtla Gutiérrez ,1725,1383,NO
13,102,Tuxtla Gutiérrez ,1723,1360,NO
13,102,Tuxtla Gutiérrez ,1654,1358,NO
1,102,Tuxtla Gutiérrez ,2160,1354,NO
2,102,Tuxtla Gutiérrez ,1672,1353,NO
13,102,Tuxtla Gutiérrez ,1668,1339,NO
13,102,Tuxtla Gutiérrez ,1652,1328,NO
13,102,Tuxtla Gutiérrez ,1699,1314,NO
13,102,Tuxtla Gutiérrez ,1753,1307,NO
13,102,Tuxtla Gutiérrez ,1669,1287,NO
13,102,Tuxtla Gutiérrez ,1724,1284,NO
1,102,Tuxtla Gutiérrez ,2029,1280,NO
1,102,Tuxtla Gutiérrez ,1627,1271,NO
1,102,Tuxtla Gutiérrez ,2028,1267,NO
13,102,Tuxtla Gutiérrez ,1709,1256,NO
13,102,Tuxtla Gutiérrez ,1698,1247,NO
13,102,Tuxtla Gutiérrez ,1648,1226,NO
2,102,Tuxtla Gutiérrez ,1674,1211,NO
1,102,Tuxtla Gutiérrez ,2040,1204,NO
2,102,Tuxtla Gutiérrez ,1643,1196,NO
2,102,Tuxtla Gutiérrez ,2167,1178,NO
1,102,Tuxtla Gutiérrez ,1656,1161,NO
13,102,Tuxtla Gutiérrez ,2118,1152,NO
13,102,Tuxtla Gutiérrez ,1701,1147,NO
1,102,Tuxtla Gutiérrez ,2021,1146,NO
1,102,Tuxtla Gutiérrez ,2019,1125,NO
13,102,Tuxtla Gutiérrez ,1722,1103,NO
13,102,Tuxtla Gutiérrez ,1692,1102,NO
13,102,Tuxtla Gutiérrez ,1691,1091,NO
13,102,Tuxtla Gutiérrez ,1719,1084,NO
2,102,Tuxtla Gutiérrez ,1642,1075,NO
1,102,Tuxtla Gutiérrez ,2046,1065,NO
13,102,Tuxtla Gutiérrez ,1665,1032,NO
13,102,Tuxtla Gutiérrez ,1687,1023,NO
13,102,Tuxtla Gutiérrez ,1671,1007,NO
13,102,Tuxtla Gutiérrez ,1688,1003,NO
13,102,Tuxtla Gutiérrez ,1693,971,NO
13,102,Tuxtla Gutiérrez ,1650,964,NO
1,102,Tuxtla Gutiérrez ,1971,951,NO
13,102,Tuxtla Gutiérrez ,1681,916,NO
13,102,Tuxtla Gutiérrez ,1670,915,NO
1,102,Tuxtla Gutiérrez ,1957,890,NO
1,102,Tuxtla Gutiérrez ,2020,889,NO
1,102,Tuxtla Gutiérrez ,1621,870,NO
2,102,Tuxtla Gutiérrez ,1635,870,NO
13,102,Tuxtla Gutiérrez ,1676,863,NO
13,102,Tuxtla Gutiérrez ,1675,857,NO
13,102,Tuxtla Gutiérrez ,1679,856,NO
13,102,Tuxtla Gutiérrez ,1695,846,NO
13,102,Tuxtla Gutiérrez ,1680,844,NO
1,102,Tuxtla Gutiérrez ,2043,843,NO
1,102,Tuxtla Gutiérrez ,1955,834,NO
1,102,Tuxtla Gutiérrez ,2018,805,NO
1,102,Tuxtla Gutiérrez ,2031,804,NO
13,102,Tuxtla Gutiérrez ,1694,787,NO
1,102,Tuxtla Gutiérrez ,1948,782,NO
1,102,Tuxtla Gutiérrez ,2015,782,NO
1,102,Tuxtla Gutiérrez ,2044,776,NO
1,102,Tuxtla Gutiérrez ,1964,772,NO
1,102,Tuxtla Gutiérrez ,2025,769,NO
1,102,Tuxtla Gutiérrez ,1947,759,NO
13,102,Tuxtla Gutiérrez ,1678,759,NO
13,102,Tuxtla Gutiérrez ,1667,725,NO
13,102,Tuxtla Gutiérrez ,1696,725,NO
1,102,Tuxtla Gutiérrez ,1968,713,NO
1,102,Tuxtla Gutiérrez ,2016,712,NO
1,102,Tuxtla Gutiérrez ,2032,711,NO
1,102,Tuxtla Gutiérrez ,1941,697,NO
13,102,Tuxtla Gutiérrez ,1711,696,NO
1,102,Tuxtla Gutiérrez ,1940,694,NO
1,102,Tuxtla Gutiérrez ,2014,691,NO
1,102,Tuxtla Gutiérrez ,2026,683,NO
1,102,Tuxtla Gutiérrez ,1946,682,NO
1,102,Tuxtla Gutiérrez ,1930,681,NO
1,102,Tuxtla Gutiérrez ,1950,667,NO
13,102,Tuxtla Gutiérrez ,1697,665,NO
13,102,Tuxtla Gutiérrez ,1710,654,NO
1,102,Tuxtla Gutiérrez ,1943,631,NO
1,102,Tuxtla Gutiérrez ,2045,614,NO
1,102,Tuxtla Gutiérrez ,1967,613,NO
1,102,Tuxtla Gutiérrez ,1974,611,NO
1,102,Tuxtla Gutiérrez ,2023,608,NO
13,102,Tuxtla Gutiérrez ,1677,606,NO
1,102,Tuxtla Gutiérrez ,2027,602,NO
1,102,Tuxtla Gutiérrez ,2030,602,NO
1,102,Tuxtla Gutiérrez ,2038,598,NO
1,102,Tuxtla Gutiérrez ,1960,588,NO
1,102,Tuxtla Gutiérrez ,1973,586,NO
1,102,Tuxtla Gutiérrez ,2012,585,NO
1,102,Tuxtla Gutiérrez ,1965,575,NO
1,102,Tuxtla Gutiérrez ,1970,570,NO
1,102,Tuxtla Gutiérrez ,2013,569,NO
1,102,Tuxtla Gutiérrez ,2034,560,NO
1,102,Tuxtla Gutiérrez ,2042,555,NO
1,102,Tuxtla Gutiérrez ,1939,549,NO
1,102,Tuxtla Gutiérrez ,1931,548,NO
1,102,Tuxtla Gutiérrez ,1936,548,NO
1,102,Tuxtla Gutiérrez ,1963,535,NO
1,102,Tuxtla Gutiérrez ,1953,534,NO
1,102,Tuxtla Gutiérrez ,1945,515,NO
1,102,Tuxtla Gutiérrez ,2039,514,NO
1,102,Tuxtla Gutiérrez ,2033,511,NO
1,102,Tuxtla Gutiérrez ,1969,502,NO
1,102,Tuxtla Gutiérrez ,1932,501,NO
1,102,Tuxtla Gutiérrez ,1956,485,NO
1,102,Tuxtla Gutiérrez ,2037,477,NO
1,102,Tuxtla Gutiérrez ,1958,476,NO
1,102,Tuxtla Gutiérrez ,1933,475,NO
1,102,Tuxtla Gutiérrez ,1966,474,NO
1,102,Tuxtla Gutiérrez ,1962,464,NO
1,102,Tuxtla Gutiérrez ,1937,462,NO
1,102,Tuxtla Gutiérrez ,1934,459,NO
1,102,Tuxtla Gutiérrez ,1961,458,NO
1,102,Tuxtla Gutiérrez ,1975,454,NO
1,102,Tuxtla Gutiérrez ,2041,453,NO
1,102,Tuxtla Gutiérrez ,1972,449,NO
1,102,Tuxtla Gutiérrez ,1951,437,NO
1,102,Tuxtla Gutiérrez ,1949,435,NO
1,102,Tuxtla Gutiérrez ,1952,424,NO
1,102,Tuxtla Gutiérrez ,1954,414,NO
1,102,Tuxtla Gutiérrez ,2035,410,NO
1,102,Tuxtla Gutiérrez ,1959,405,NO
1,102,Tuxtla Gutiérrez ,2036,392,NO
1,102,Tuxtla Gutiérrez ,1935,376,NO
1,102,Tuxtla Gutiérrez ,1942,348,NO
1,102,Tuxtla Gutiérrez ,1938,343,NO
1,102,Tuxtla Gutiérrez ,1944,311,NO
13,102,Tuxtla Gutiérrez ,1752,272,NO
1,102,Tuxtla Gutiérrez ,1754,196,NO
12,73,Reforma,1062,3139,SI
12,73,Reforma,1052,2540,SI
12,73,Reforma,2088,2400,SI
12,73,Reforma,1069,2170,SI
12,73,Reforma,1065,2041,SI
12,73,Reforma,1064,2025,SI
12,73,Reforma,1060,1830,SI
12,73,Reforma,2086,1776,NO
12,73,Reforma,1066,1590,NO
12,73,Reforma,2087,1361,NO
12,73,Reforma,1063,1258,NO
12,73,Reforma,1067,1167,NO
12,73,Reforma,1061,1151,NO
12,73,Reforma,1059,1033,NO
12,73,Reforma,1053,1024,NO
12,73,Reforma,1068,983,NO
12,73,Reforma,1056,947,NO
12,73,Reforma,1058,913,NO
12,73,Reforma,1055,906,NO
12,73,Reforma,1054,835,NO
19,90,Tapachula,1386,5018,SI
19,90,Tapachula,1384,4487,SI
19,90,Tapachula,1342,3785,SI
19,90,Tapachula,1387,3015,SI
19,90,Tapachula,1397,3006,SI
19,90,Tapachula,1332,2804,SI
18,90,Tapachula,1346,2786,SI
19,90,Tapachula,2213,2773,SI
18,90,Tapachula,1276,2706,SI
19,90,Tapachula,2211,2684,SI
19,90,Tapachula,1265,2629,SI
19,90,Tapachula,2142,2621,SI
19,90,Tapachula,1303,2598,SI
18,90,Tapachula,1281,2587,SI
19,90,Tapachula,1378,2556,SI
18,90,Tapachula,1280,2478,SI
19,90,Tapachula,1336,2413,SI
19,90,Tapachula,1338,2378,SI
19,90,Tapachula,2359,2372,SI
18,90,Tapachula,2362,2217,SI
18,90,Tapachula,1370,2215,SI
19,90,Tapachula,2358,2165,SI
19,90,Tapachula,1334,2159,SI
19,90,Tapachula,1311,2151,SI
18,90,Tapachula,2363,2114,SI
19,90,Tapachula,1398,2071,SI
19,90,Tapachula,2214,2032,SI
19,90,Tapachula,2143,2015,SI
19,90,Tapachula,2212,2014,SI
18,90,Tapachula,1373,1961,SI
19,90,Tapachula,1379,1960,SI
19,90,Tapachula,2210,1955,SI
19,90,Tapachula,1329,1910,SI
19,90,Tapachula,2368,1890,SI
18,90,Tapachula,1294,1858,SI
19,90,Tapachula,1341,1840,SI
19,90,Tapachula,1376,1823,SI
19,90,Tapachula,2365,1774,SI
19,90,Tapachula,1381,1770,SI
19,90,Tapachula,1337,1753,SI
19,90,Tapachula,2367,1753,SI
19,90,Tapachula,2209,1746,SI
19,90,Tapachula,1333,1734,SI
18,90,Tapachula,1367,1698,SI
18,90,Tapachula,1344,1682,SI
19,90,Tapachula,1271,1666,SI
19,90,Tapachula,1393,1655,SI
19,90,Tapachula,1380,1636,SI
19,90,Tapachula,1268,1632,SI
18,90,Tapachula,1293,1621,SI
19,90,Tapachula,1390,1605,SI
18,90,Tapachula,1312,1597,SI
19,90,Tapachula,1399,1591,SI
19,90,Tapachula,1385,1574,SI
19,90,Tapachula,1323,1541,SI
19,90,Tapachula,2005,1540,NO
19,90,Tapachula,1339,1533,NO
18,90,Tapachula,1375,1526,NO
18,90,Tapachula,1295,1522,NO
18,90,Tapachula,1296,1519,NO
19,90,Tapachula,1275,1457,NO
18,90,Tapachula,1359,1409,NO
19,90,Tapachula,1327,1404,NO
18,90,Tapachula,1374,1375,NO
19,90,Tapachula,1396,1367,NO
19,90,Tapachula,1269,1360,NO
18,90,Tapachula,1355,1355,NO
18,90,Tapachula,1371,1348,NO
18,90,Tapachula,1351,1346,NO
19,90,Tapachula,2364,1321,NO
19,90,Tapachula,1377,1320,NO
19,90,Tapachula,1277,1319,NO
19,90,Tapachula,1328,1299,NO
19,90,Tapachula,2007,1289,NO
19,90,Tapachula,1278,1280,NO
18,90,Tapachula,1282,1276,NO
19,90,Tapachula,1272,1253,NO
19,90,Tapachula,2366,1251,NO
18,90,Tapachula,1362,1245,NO
19,90,Tapachula,1391,1227,NO
19,90,Tapachula,1982,1227,NO
18,90,Tapachula,1361,1224,NO
19,90,Tapachula,1981,1224,NO
19,90,Tapachula,1988,1223,NO
19,90,Tapachula,1979,1213,NO
19,90,Tapachula,1383,1184,NO
18,90,Tapachula,1352,1181,NO
19,90,Tapachula,1392,1177,NO
18,90,Tapachula,1279,1169,NO
19,90,Tapachula,1330,1157,NO
19,90,Tapachula,1388,1154,NO
18,90,Tapachula,1369,1144,NO
19,90,Tapachula,1996,1126,NO
19,90,Tapachula,1322,1113,NO
19,90,Tapachula,2001,1106,NO
19,90,Tapachula,1987,1105,NO
18,90,Tapachula,1354,1075,NO
18,90,Tapachula,2360,1070,NO
19,90,Tapachula,1321,1067,NO
19,90,Tapachula,2011,1060,NO
18,90,Tapachula,1347,1055,NO
19,90,Tapachula,1331,1053,NO
19,90,Tapachula,1990,1041,NO
19,90,Tapachula,1995,1040,NO
19,90,Tapachula,2008,1038,NO
19,90,Tapachula,1389,1036,NO
19,90,Tapachula,1977,1016,NO
18,90,Tapachula,1360,1003,NO
18,90,Tapachula,1345,993,NO
19,90,Tapachula,1983,985,NO
18,90,Tapachula,1372,984,NO
19,90,Tapachula,2002,983,NO
18,90,Tapachula,1366,981,NO
19,90,Tapachula,1400,978,NO
19,90,Tapachula,2010,972,NO
18,90,Tapachula,1358,969,NO
19,90,Tapachula,1978,951,NO
19,90,Tapachula,1985,940,NO
19,90,Tapachula,1989,908,NO
19,90,Tapachula,1980,907,NO
19,90,Tapachula,1326,906,NO
19,90,Tapachula,1994,887,NO
19,90,Tapachula,1309,884,NO
19,90,Tapachula,1310,877,NO
18,90,Tapachula,1292,874,NO
19,90,Tapachula,2047,872,NO
19,90,Tapachula,1266,867,NO
19,90,Tapachula,1304,857,NO
19,90,Tapachula,1984,857,NO
18,90,Tapachula,1364,855,NO
19,90,Tapachula,1274,855,NO
19,90,Tapachula,2006,841,NO
19,90,Tapachula,1976,838,NO
19,90,Tapachula,1986,822,NO
19,90,Tapachula,1999,817,NO
19,90,Tapachula,1324,805,NO
19,90,Tapachula,1993,793,NO
18,90,Tapachula,1297,788,NO
19,90,Tapachula,1313,781,NO
19,90,Tapachula,2004,774,NO
19,90,Tapachula,2048,762,NO
18,90,Tapachula,1283,752,NO
19,90,Tapachula,1285,737,NO
19,90,Tapachula,1998,736,NO
19,90,Tapachula,2003,731,NO
18,90,Tapachula,1356,720,NO
18,90,Tapachula,1363,699,NO
19,90,Tapachula,1314,698,NO
19,90,Tapachula,1286,677,NO
18,90,Tapachula,1291,671,NO
19,90,Tapachula,1997,664,NO
19,90,Tapachula,2009,663,NO
19,90,Tapachula,1307,654,NO
18,90,Tapachula,1290,648,NO
19,90,Tapachula,1300,642,NO
19,90,Tapachula,1320,640,NO
19,90,Tapachula,1382,623,NO
18,90,Tapachula,1365,618,NO
18,90,Tapachula,1349,608,NO
19,90,Tapachula,1325,608,NO
18,90,Tapachula,1350,598,NO
18,90,Tapachula,2361,584,NO
19,90,Tapachula,1287,566,NO
19,90,Tapachula,1301,565,NO
19,90,Tapachula,1308,546,NO
19,90,Tapachula,1315,543,NO
19,90,Tapachula,1284,538,NO
19,90,Tapachula,1991,534,NO
19,90,Tapachula,1289,526,NO
19,90,Tapachula,1992,507,NO
19,90,Tapachula,1317,494,NO
18,90,Tapachula,1298,482,NO
19,90,Tapachula,1319,479,NO
19,90,Tapachula,2000,458,NO
19,90,Tapachula,1306,445,NO
19,90,Tapachula,1288,427,NO
19,90,Tapachula,1299,417,NO
18,90,Tapachula,1357,404,NO
19,90,Tapachula,1316,391,NO
18,90,Tapachula,1353,390,NO
18,90,Tapachula,1368,381,NO
19,90,Tapachula,1318,380,NO
19,90,Tapachula,1305,351,NO
19,90,Tapachula,1302,335,NO
18,90,Tapachula,1348,235,NO
19,90,Tapachula,2147,150,NO
5,77,San Cristóbal de las Casas,1151,11235,SI
5,77,San Cristóbal de las Casas,1131,7406,SI
5,77,San Cristóbal de las Casas,1150,6808,SI
5,77,San Cristóbal de las Casas,1144,6562,SI
5,77,San Cristóbal de las Casas,1143,5173,SI
5,77,San Cristóbal de las Casas,1116,4441,SI
5,77,San Cristóbal de las Casas,1120,3994,SI
5,77,San Cristóbal de las Casas,1121,3392,SI
5,77,San Cristóbal de las Casas,1117,3235,SI
5,77,San Cristóbal de las Casas,1145,3037,SI
5,77,San Cristóbal de las Casas,1119,3000,SI
5,77,San Cristóbal de las Casas,2096,2927,SI
5,77,San Cristóbal de las Casas,2097,2844,SI
5,77,San Cristóbal de las Casas,2296,2829,SI
5,77,San Cristóbal de las Casas,1149,2812,SI
5,77,San Cristóbal de las Casas,1136,2797,SI
5,77,San Cristóbal de las Casas,2187,2794,SI
5,77,San Cristóbal de las Casas,1130,2760,NO
5,77,San Cristóbal de las Casas,2190,2736,NO
5,77,San Cristóbal de las Casas,1153,2686,NO
5,77,San Cristóbal de las Casas,2189,2660,NO
5,77,San Cristóbal de las Casas,2188,2641,NO
5,77,San Cristóbal de las Casas,1129,2601,NO
5,77,San Cristóbal de las Casas,1142,2593,NO
5,77,San Cristóbal de las Casas,1127,2567,NO
5,77,San Cristóbal de las Casas,2297,2484,NO
5,77,San Cristóbal de las Casas,1148,2333,NO
5,77,San Cristóbal de las Casas,2186,2238,NO
5,77,San Cristóbal de las Casas,1152,2228,NO
5,77,San Cristóbal de las Casas,1125,2212,NO
5,77,San Cristóbal de las Casas,2095,2126,NO
5,77,San Cristóbal de las Casas,1122,2087,NO
5,77,San Cristóbal de las Casas,1155,2049,NO
5,77,San Cristóbal de las Casas,1137,2002,NO
5,77,San Cristóbal de las Casas,1157,1883,NO
5,77,San Cristóbal de las Casas,1146,1830,NO
5,77,San Cristóbal de las Casas,1160,1827,NO
5,77,San Cristóbal de las Casas,2094,1738,NO
5,77,San Cristóbal de las Casas,1156,1685,NO
5,77,San Cristóbal de las Casas,1126,1674,NO
5,77,San Cristóbal de las Casas,1158,1649,NO
5,77,San Cristóbal de las Casas,2295,1643,NO
5,77,San Cristóbal de las Casas,1118,1626,NO
5,77,San Cristóbal de las Casas,2098,1475,NO
5,77,San Cristóbal de las Casas,1154,1422,NO
5,77,San Cristóbal de las Casas,1135,1404,NO
5,77,San Cristóbal de las Casas,1124,1344,NO
5,77,San Cristóbal de las Casas,1132,1254,NO
5,77,San Cristóbal de las Casas,1163,1239,NO
5,77,San Cristóbal de las Casas,1147,1162,NO
5,77,San Cristóbal de las Casas,1141,1092,NO
5,77,San Cristóbal de las Casas,1159,1068,NO
5,77,San Cristóbal de las Casas,1133,1045,NO
5,77,San Cristóbal de las Casas,1123,917,NO
5,77,San Cristóbal de las Casas,1138,892,NO
5,77,San Cristóbal de las Casas,1161,828,NO
5,77,San Cristóbal de las Casas,1134,795,NO
5,77,San Cristóbal de las Casas,1139,722,NO
5,77,San Cristóbal de las Casas,1162,597,NO
5,77,San Cristóbal de las Casas,1140,502,NO
21,77,San Cristóbal de las Casas,1164,401,NO
6,19,Comitán de Domínguez,264,5696,SI
6,19,Comitán de Domínguez,242,3661,SI
6,19,Comitán de Domínguez,262,3517,SI
6,19,Comitán de Domínguez,249,3207,SI
6,19,Comitán de Domínguez,256,3090,SI
6,19,Comitán de Domínguez,255,3070,SI
6,19,Comitán de Domínguez,2201,3054,SI
6,19,Comitán de Domínguez,263,3052,SI
6,19,Comitán de Domínguez,265,2987,SI
6,19,Comitán de Domínguez,2158,2938,SI
6,19,Comitán de Domínguez,289,2933,SI
6,19,Comitán de Domínguez,2156,2815,SI
6,19,Comitán de Domínguez,248,2795,SI
6,19,Comitán de Domínguez,2151,2686,SI
6,19,Comitán de Domínguez,2198,2431,SI
6,19,Comitán de Domínguez,259,2400,SI
6,19,Comitán de Domínguez,2157,2260,SI
6,19,Comitán de Domínguez,2152,2229,SI
6,19,Comitán de Domínguez,257,2221,SI
6,19,Comitán de Domínguez,2126,2158,SI
