DT_LOC,NU_MUN,NO_MUN,SECCION
1,102,Tuxtla Gutiérrez ,1972
1,102,Tuxtla Gutiérrez ,1973
1,102,Tuxtla Gutiérrez ,1974
1,102,Tuxtla Gutiérrez ,1975
1,102,Tuxtla Gutiérrez ,2012
1,102,Tuxtla Gutiérrez ,2013
1,102,Tuxtla Gutiérrez ,2014
1,102,Tuxtla Gutiérrez ,2015
1,102,Tuxtla Gutiérrez ,2016
1,102,Tuxtla Gutiérrez ,2017
1,102,Tuxtla Gutiérrez ,2018
1,102,Tuxtla Gutiérrez ,2019
1,102,Tuxtla Gutiérrez ,2020
1,102,Tuxtla Gutiérrez ,2021
1,102,Tuxtla Gutiérrez ,2022
1,102,Tuxtla Gutiérrez ,2023
1,102,Tuxtla Gutiérrez ,2024
1,102,Tuxtla Gutiérrez ,2025
1,102,Tuxtla Gutiérrez ,2026
1,102,Tuxtla Gutiérrez ,2027
1,102,Tuxtla Gutiérrez ,2028
1,102,Tuxtla Gutiérrez ,2029
1,102,Tuxtla Gutiérrez ,2030
1,102,Tuxtla Gutiérrez ,2031
1,102,Tuxtla Gutiérrez ,2032
1,102,Tuxtla Gutiérrez ,2033
1,102,Tuxtla Gutiérrez ,2034
1,102,Tuxtla Gutiérrez ,2035
1,102,Tuxtla Gutiérrez ,2036
1,102,Tuxtla Gutiérrez ,2037
1,102,Tuxtla Gutiérrez ,2038
1,102,Tuxtla Gutiérrez ,2039
1,102,Tuxtla Gutiérrez ,2040
1,102,Tuxtla Gutiérrez ,2041
1,102,Tuxtla Gutiérrez ,2042
1,102,Tuxtla Gutiérrez ,2043
1,102,Tuxtla Gutiérrez ,2044
1,102,Tuxtla Gutiérrez ,2045
1,102,Tuxtla Gutiérrez ,2046
1,102,Tuxtla Gutiérrez ,2131
1,102,Tuxtla Gutiérrez ,2132
1,102,Tuxtla Gutiérrez ,2159
1,102,Tuxtla Gutiérrez ,2160
1,102,Tuxtla Gutiérrez ,2161
1,102,Tuxtla Gutiérrez ,2162
1,102,Tuxtla Gutiérrez ,2163
2,12,Berriozabal,131
2,12,Berriozabal,132
2,12,Berriozabal,133
2,12,Berriozabal,134
2,12,Berriozabal,135
2,12,Berriozabal,137
2,12,Berriozabal,138
2,12,Berriozabal,139
2,12,Berriozabal,140
2,12,Berriozabal,141
2,12,Berriozabal,142
2,12,Berriozabal,143
2,12,Berriozabal,2182
2,12,Berriozabal,2183
2,12,Berriozabal,2184
2,12,Berriozabal,2185
2,12,Berriozabal,2285
2,12,Berriozabal,2286
2,12,Berriozabal,2287
2,29,Chicoasén,436
2,29,Chicoasén,437
2,29,Chicoasén,438
2,63,Osumacinta,923
2,63,Osumacinta,924
2,78,San Fernando,1165
2,78,San Fernando,1166
2,78,San Fernando,1167
2,78,San Fernando,1169
2,78,San Fernando,1170
2,78,San Fernando,1171
2,78,San Fernando,1172
2,78,San Fernando,1173
2,78,San Fernando,1174
2,78,San Fernando,1175
2,78,San Fernando,1176
2,78,San Fernando,2089
2,78,San Fernando,2090
2,78,San Fernando,2293
2,78,San Fernando,2294
2,102,Tuxtla Gutiérrez ,1613
2,102,Tuxtla Gutiérrez ,1614
2,102,Tuxtla Gutiérrez ,1615
2,102,Tuxtla Gutiérrez ,1617
2,102,Tuxtla Gutiérrez ,1632
2,102,Tuxtla Gutiérrez ,1633
2,102,Tuxtla Gutiérrez ,1634
2,102,Tuxtla Gutiérrez ,1635
2,102,Tuxtla Gutiérrez ,1636
2,102,Tuxtla Gutiérrez ,1637
2,102,Tuxtla Gutiérrez ,1638
2,102,Tuxtla Gutiérrez ,1639
2,102,Tuxtla Gutiérrez ,1640
2,102,Tuxtla Gutiérrez ,1641
2,102,Tuxtla Gutiérrez ,1642
2,102,Tuxtla Gutiérrez ,1643
2,102,Tuxtla Gutiérrez ,1644
2,102,Tuxtla Gutiérrez ,1645
2,102,Tuxtla Gutiérrez ,1646
2,102,Tuxtla Gutiérrez ,1647
2,102,Tuxtla Gutiérrez ,1672
2,102,Tuxtla Gutiérrez ,1674
2,102,Tuxtla Gutiérrez ,1703
2,102,Tuxtla Gutiérrez ,1739
2,102,Tuxtla Gutiérrez ,2148
2,102,Tuxtla Gutiérrez ,2149
2,102,Tuxtla Gutiérrez ,2150
2,102,Tuxtla Gutiérrez ,2164
2,102,Tuxtla Gutiérrez ,2165
2,102,Tuxtla Gutiérrez ,2166
2,102,Tuxtla Gutiérrez ,2167
2,102,Tuxtla Gutiérrez ,2168
2,102,Tuxtla Gutiérrez ,2169
3,2,Acala,7
3,2,Acala,8
3,2,Acala,9
3,2,Acala,10
3,2,Acala,11
3,2,Acala,12
3,2,Acala,13
3,2,Acala,14
3,2,Acala,18
3,2,Acala,19
3,27,Chiapa de Corzo,403
3,27,Chiapa de Corzo,404
3,27,Chiapa de Corzo,406
3,27,Chiapa de Corzo,407
3,27,Chiapa de Corzo,408
3,27,Chiapa de Corzo,409
3,27,Chiapa de Corzo,410
3,27,Chiapa de Corzo,411
3,27,Chiapa de Corzo,412
3,27,Chiapa de Corzo,413
3,27,Chiapa de Corzo,414
3,27,Chiapa de Corzo,417
3,27,Chiapa de Corzo,418
3,27,Chiapa de Corzo,419
3,27,Chiapa de Corzo,420
3,27,Chiapa de Corzo,421
3,27,Chiapa de Corzo,422
3,27,Chiapa de Corzo,423
3,27,Chiapa de Corzo,424
3,27,Chiapa de Corzo,425
3,27,Chiapa de Corzo,426
3,27,Chiapa de Corzo,427
3,27,Chiapa de Corzo,428
3,27,Chiapa de Corzo,429
3,27,Chiapa de Corzo,430
3,27,Chiapa de Corzo,431
3,27,Chiapa de Corzo,432
3,27,Chiapa de Corzo,2104
3,27,Chiapa de Corzo,2105
3,27,Chiapa de Corzo,2106
3,27,Chiapa de Corzo,2107
3,27,Chiapa de Corzo,2108
3,27,Chiapa de Corzo,2298
3,27,Chiapa de Corzo,2299
3,27,Chiapa de Corzo,2374
3,27,Chiapa de Corzo,2375
3,27,Chiapa de Corzo,2376
3,27,Chiapa de Corzo,2377
3,27,Chiapa de Corzo,2378
3,28,Chiapilla,433
3,28,Chiapilla,434
3,28,Chiapilla,435
3,44,Ixtapa,627
3,44,Ixtapa,628
3,44,Ixtapa,629
3,44,Ixtapa,630
3,44,Ixtapa,631
3,44,Ixtapa,632
3,44,Ixtapa,633
3,44,Ixtapa,634
3,44,Ixtapa,635
3,80,San Lucas,1187
3,80,San Lucas,1188
3,87,Suchiapa,1240
3,87,Suchiapa,1241
3,87,Suchiapa,1242
3,87,Suchiapa,1243
3,87,Suchiapa,1244
3,87,Suchiapa,1245
3,87,Suchiapa,1246
3,98,Totolapa,1530
3,98,Totolapa,2113
3,98,Totolapa,2114
3,98,Totolapa,2115
3,122,Emiliano Zapata,15
3,122,Emiliano Zapata,16
3,122,Emiliano Zapata,17
3,122,Emiliano Zapata,20
4,66,Pantelhó,977
4,66,Pantelhó,978
4,66,Pantelhó,979
4,66,Pantelhó,980
4,66,Pantelhó,981
4,66,Pantelhó,982
4,66,Pantelhó,983
4,66,Pantelhó,984
4,75,Sabanilla,1082
4,75,Sabanilla,1083
4,75,Sabanilla,1084
4,75,Sabanilla,1085
4,75,Sabanilla,1086
4,75,Sabanilla,1088
4,75,Sabanilla,1089
4,75,Sabanilla,1090
4,75,Sabanilla,1091
4,75,Sabanilla,2217
4,75,Sabanilla,2218
4,96,Tila,1464
4,96,Tila,1465
4,96,Tila,1466
4,96,Tila,1467
4,96,Tila,1468
4,96,Tila,1469
4,96,Tila,1470
4,96,Tila,1471
4,96,Tila,1472
4,96,Tila,1473
4,96,Tila,1475
4,96,Tila,1476
4,96,Tila,1477
4,96,Tila,1478
4,96,Tila,1479
4,96,Tila,1480
4,96,Tila,1481
4,96,Tila,1482
4,96,Tila,1483
4,96,Tila,1484
4,96,Tila,1485
4,96,Tila,2224
4,96,Tila,2225
4,96,Tila,2226
4,100,Tumbalá,1568
4,100,Tumbalá,1569
4,100,Tumbalá,1570
4,100,Tumbalá,1571
4,100,Tumbalá,1572
4,100,Tumbalá,1573
4,100,Tumbalá,1574
4,100,Tumbalá,1575
4,100,Tumbalá,1576
4,100,Tumbalá,1577
4,100,Tumbalá,1578
4,100,Tumbalá,1579
4,110,Yajalón,1902
4,110,Yajalón,1903
4,110,Yajalón,1904
4,110,Yajalón,1905
4,110,Yajalón,1906
4,110,Yajalón,1907
4,110,Yajalón,1908
4,110,Yajalón,1909
4,110,Yajalón,1910
4,110,Yajalón,1911
4,110,Yajalón,1912
4,110,Yajalón,1913
4,110,Yajalón,1914
5,77,San Cristóbal de las Casas,1116
5,77,San Cristóbal de las Casas,1117
5,77,San Cristóbal de las Casas,1118
5,77,San Cristóbal de las Casas,1119
5,77,San Cristóbal de las Casas,1120
5,77,San Cristóbal de las Casas,1121
5,77,San Cristóbal de las Casas,1122
5,77,San Cristóbal de las Casas,1123
5,77,San Cristóbal de las Casas,1124
5,77,San Cristóbal de las Casas,1125
5,77,San Cristóbal de las Casas,1126
5,77,San Cristóbal de las Casas,1127
5,77,San Cristóbal de las Casas,1129
5,77,San Cristóbal de las Casas,1130
5,77,San Cristóbal de las Casas,1131
5,77,San Cristóbal de las Casas,1132
5,77,San Cristóbal de las Casas,1133
5,77,San Cristóbal de las Casas,1134
5,77,San Cristóbal de las Casas,1135
5,77,San Cristóbal de las Casas,1136
5,77,San Cristóbal de las Casas,1137
5,77,San Cristóbal de las Casas,1138
5,77,San Cristóbal de las Casas,1139
5,77,San Cristóbal de las Casas,1140
5,77,San Cristóbal de las Casas,1141
5,77,San Cristóbal de las Casas,1142
5,77,San Cristóbal de las Casas,1143
5,77,San Cristóbal de las Casas,1144
5,77,San Cristóbal de las Casas,1145
5,77,San Cristóbal de las Casas,1146
5,77,San Cristóbal de las Casas,1147
5,77,San Cristóbal de las Casas,1148
5,77,San Cristóbal de las Casas,1149
5,77,San Cristóbal de las Casas,1150
5,77,San Cristóbal de las Casas,1151
5,77,San Cristóbal de las Casas,1152
5,77,San Cristóbal de las Casas,1153
5,77,San Cristóbal de las Casas,1154
5,77,San Cristóbal de las Casas,1155
5,77,San Cristóbal de las Casas,1156
5,77,San Cristóbal de las Casas,1157
5,77,San Cristóbal de las Casas,1158
5,77,San Cristóbal de las Casas,1159
5,77,San Cristóbal de las Casas,1160
5,77,San Cristóbal de las Casas,1161
5,77,San Cristóbal de las Casas,1162
5,77,San Cristóbal de las Casas,1163
5,77,San Cristóbal de las Casas,2094
5,77,San Cristóbal de las Casas,2095
5,77,San Cristóbal de las Casas,2096
5,77,San Cristóbal de las Casas,2097
5,77,San Cristóbal de las Casas,2098
5,77,San Cristóbal de las Casas,2186
5,77,San Cristóbal de las Casas,2187
5,77,San Cristóbal de las Casas,2188
5,77,San Cristóbal de las Casas,2189
5,77,San Cristóbal de las Casas,2190
5,77,San Cristóbal de las Casas,2295
5,77,San Cristóbal de las Casas,2296
5,77,San Cristóbal de las Casas,2297
6,19,Comitán de Domínguez,240
6,19,Comitán de Domínguez,241
6,19,Comitán de Domínguez,242
6,19,Comitán de Domínguez,243
6,19,Comitán de Domínguez,245
6,19,Comitán de Domínguez,246
6,19,Comitán de Domínguez,247
6,19,Comitán de Domínguez,248
6,19,Comitán de Domínguez,249
6,19,Comitán de Domínguez,250
6,19,Comitán de Domínguez,251
6,19,Comitán de Domínguez,252
6,19,Comitán de Domínguez,253
6,19,Comitán de Domínguez,254
6,19,Comitán de Domínguez,255
6,19,Comitán de Domínguez,256
6,19,Comitán de Domínguez,257
6,19,Comitán de Domínguez,258
6,19,Comitán de Domínguez,259
6,19,Comitán de Domínguez,262
6,19,Comitán de Domínguez,263
6,19,Comitán de Domínguez,264
6,19,Comitán de Domínguez,265
6,19,Comitán de Domínguez,267
6,19,Comitán de Domínguez,268
6,19,Comitán de Domínguez,269
6,19,Comitán de Domínguez,270
6,19,Comitán de Domínguez,271
6,19,Comitán de Domínguez,272
6,19,Comitán de Domínguez,273
6,19,Comitán de Domínguez,274
6,19,Comitán de Domínguez,275
6,19,Comitán de Domínguez,276
6,19,Comitán de Domínguez,277
6,19,Comitán de Domínguez,278
6,19,Comitán de Domínguez,279
6,19,Comitán de Domínguez,280
6,19,Comitán de Domínguez,281
6,19,Comitán de Domínguez,282
6,19,Comitán de Domínguez,283
6,19,Comitán de Domínguez,284
6,19,Comitán de Domínguez,285
6,19,Comitán de Domínguez,286
6,19,Comitán de Domínguez,287
6,19,Comitán de Domínguez,288
6,19,Comitán de Domínguez,289
6,19,Comitán de Domínguez,290
6,19,Comitán de Domínguez,291
6,19,Comitán de Domínguez,292
6,19,Comitán de Domínguez,2126
6,19,Comitán de Domínguez,2127
6,19,Comitán de Domínguez,2151
6,19,Comitán de Domínguez,2152
6,19,Comitán de Domínguez,2153
6,19,Comitán de Domínguez,2154
6,19,Comitán de Domínguez,2155
6,19,Comitán de Domínguez,2156
6,19,Comitán de Domínguez,2157
6,19,Comitán de Domínguez,2158
6,19,Comitán de Domínguez,2198
6,19,Comitán de Domínguez,2199
6,19,Comitán de Domínguez,2200
6,19,Comitán de Domínguez,2201
6,74,Las Rosas,1070
6,74,Las Rosas,1071
6,74,Las Rosas,1072
6,74,Las Rosas,1073
6,74,Las Rosas,1074
6,74,Las Rosas,1075
6,74,Las Rosas,1076
6,74,Las Rosas,1077
6,74,Las Rosas,1078
6,74,Las Rosas,1079
6,74,Las Rosas,1080
6,74,Las Rosas,1081
6,84,Socoltenango,1226
6,84,Socoltenango,1227
6,84,Socoltenango,1228
6,84,Socoltenango,1229
6,84,Socoltenango,1230
6,84,Socoltenango,1231
6,84,Socoltenango,1232
6,104,Tzimol,1771
6,104,Tzimol,1772
6,104,Tzimol,1773
6,104,Tzimol,1774
6,104,Tzimol,1775
6,104,Tzimol,1776
6,104,Tzimol,1777
7,59,Ocosingo,815
7,59,Ocosingo,817
7,59,Ocosingo,818
7,59,Ocosingo,819
7,59,Ocosingo,820
7,59,Ocosingo,827
7,59,Ocosingo,828
7,59,Ocosingo,831
7,59,Ocosingo,832
7,59,Ocosingo,833
7,59,Ocosingo,834
7,59,Ocosingo,835
7,59,Ocosingo,841
7,59,Ocosingo,844
7,59,Ocosingo,845
7,59,Ocosingo,846
7,59,Ocosingo,847
7,59,Ocosingo,850
7,59,Ocosingo,851
7,59,Ocosingo,852
7,59,Ocosingo,853
7,59,Ocosingo,854
7,59,Ocosingo,856
7,59,Ocosingo,858
7,59,Ocosingo,859
7,59,Ocosingo,860
7,59,Ocosingo,861
7,59,Ocosingo,862
7,59,Ocosingo,863
7,59,Ocosingo,865
7,59,Ocosingo,866
7,59,Ocosingo,871
7,59,Ocosingo,872
7,59,Ocosingo,881
7,59,Ocosingo,2076
7,59,Ocosingo,2077
7,59,Ocosingo,2078
7,59,Ocosingo,2079
7,59,Ocosingo,2080
7,59,Ocosingo,2081
7,59,Ocosingo,2082
7,59,Ocosingo,2083
7,59,Ocosingo,2178
7,59,Ocosingo,2179
7,59,Ocosingo,2180
7,59,Ocosingo,2181
7,59,Ocosingo,2253
7,59,Ocosingo,2254
7,59,Ocosingo,2255
7,59,Ocosingo,2256
7,59,Ocosingo,2257
7,59,Ocosingo,2258
7,59,Ocosingo,2259
7,59,Ocosingo,2260
7,59,Ocosingo,2261
7,59,Ocosingo,2262
7,59,Ocosingo,2263
7,59,Ocosingo,2264
7,59,Ocosingo,2265
7,59,Ocosingo,2266
7,59,Ocosingo,2267
7,59,Ocosingo,2268
7,59,Ocosingo,2269
7,59,Ocosingo,2270
7,59,Ocosingo,2271
7,59,Ocosingo,2272
7,59,Ocosingo,2273
7,59,Ocosingo,2274
7,59,Ocosingo,2275
7,59,Ocosingo,2276
7,59,Ocosingo,2277
7,59,Ocosingo,2278
7,59,Ocosingo,2279
7,113,Benemérito de las Américas,867
7,113,Benemérito de las Américas,868
7,113,Benemérito de las Américas,869
7,113,Benemérito de las Américas,874
7,113,Benemérito de las Américas,878
7,113,Benemérito de las Américas,879
7,115,Marques de Comillas,873
7,115,Marques de Comillas,875
7,115,Marques de Comillas,877
7,115,Marques de Comillas,880
7,115,Marques de Comillas,2280
7,115,Marques de Comillas,2281
7,115,Marques de Comillas,2282
8,14,El Bosque,155
8,14,El Bosque,156
8,14,El Bosque,157
8,14,El Bosque,158
8,14,El Bosque,159
8,14,El Bosque,161
8,14,El Bosque,162
8,14,El Bosque,2054
8,14,El Bosque,2055
8,22,Chalchihuitán,331
8,22,Chalchihuitán,332
8,22,Chalchihuitán,333
8,22,Chalchihuitán,2227
8,22,Chalchihuitán,2228
8,22,Chalchihuitán,2229
8,22,Chalchihuitán,2230
8,22,Chalchihuitán,2231
8,22,Chalchihuitán,2232
8,26,Chenalhó,384
8,26,Chenalhó,385
8,26,Chenalhó,386
8,26,Chenalhó,387
8,26,Chenalhó,388
8,26,Chenalhó,389
8,26,Chenalhó,390
8,26,Chenalhó,391
8,26,Chenalhó,392
8,26,Chenalhó,394
8,26,Chenalhó,395
8,26,Chenalhó,396
8,26,Chenalhó,397
8,26,Chenalhó,400
8,26,Chenalhó,401
8,26,Chenalhó,2056
8,26,Chenalhó,2057
8,26,Chenalhó,2058
8,38,Huitiupán,556
8,38,Huitiupán,557
8,38,Huitiupán,558
8,38,Huitiupán,559
8,38,Huitiupán,560
8,38,Huitiupán,561
8,38,Huitiupán,562
8,38,Huitiupán,563
8,38,Huitiupán,564
8,38,Huitiupán,565
8,49,Larráinzar,682
8,49,Larráinzar,683
8,49,Larráinzar,684
8,49,Larráinzar,686
8,49,Larráinzar,687
8,49,Larráinzar,688
8,49,Larráinzar,689
8,49,Larráinzar,690
8,49,Larráinzar,691
8,82,Simojovel,1207
8,82,Simojovel,1208
8,82,Simojovel,1209
8,82,Simojovel,1210
8,82,Simojovel,1211
8,82,Simojovel,1212
8,82,Simojovel,1214
8,82,Simojovel,1216
8,82,Simojovel,1217
8,82,Simojovel,1218
8,82,Simojovel,1220
8,82,Simojovel,1221
8,82,Simojovel,2241
8,82,Simojovel,2242
8,82,Simojovel,2243
8,82,Simojovel,2244
8,82,Simojovel,2245
8,82,Simojovel,2246
8,82,Simojovel,2247
8,82,Simojovel,2248
8,82,Simojovel,2249
8,112,Aldama,398
8,112,Aldama,399
8,118,Santiago el Pinar,685
9,16,Catazajá,186
9,16,Catazajá,187
9,16,Catazajá,188
9,16,Catazajá,189
9,16,Catazajá,190
9,16,Catazajá,191
9,16,Catazajá,192
9,16,Catazajá,193
9,16,Catazajá,194
9,16,Catazajá,195
9,16,Catazajá,196
9,50,La Libertad,692
9,50,La Libertad,693
9,50,La Libertad,694
9,50,La Libertad,695
9,50,La Libertad,696
9,65,Palenque,944
9,65,Palenque,945
9,65,Palenque,946
9,65,Palenque,948
9,65,Palenque,949
9,65,Palenque,950
9,65,Palenque,951
9,65,Palenque,953
9,65,Palenque,954
9,65,Palenque,955
9,65,Palenque,956
9,65,Palenque,957
9,65,Palenque,958
9,65,Palenque,959
9,65,Palenque,960
9,65,Palenque,961
9,65,Palenque,962
9,65,Palenque,963
9,65,Palenque,964
9,65,Palenque,965
9,65,Palenque,966
9,65,Palenque,967
9,65,Palenque,968
9,65,Palenque,969
9,65,Palenque,970
9,65,Palenque,971
9,65,Palenque,972
9,65,Palenque,974
9,65,Palenque,976
9,65,Palenque,2050
9,65,Palenque,2051
9,65,Palenque,2052
9,65,Palenque,2053
9,65,Palenque,2174
9,65,Palenque,2175
9,65,Palenque,2176
9,65,Palenque,2177
9,65,Palenque,2215
9,65,Palenque,2216
9,76,Salto de Agua,1092
9,76,Salto de Agua,1093
9,76,Salto de Agua,1094
9,76,Salto de Agua,1095
9,76,Salto de Agua,1096
9,76,Salto de Agua,1097
9,76,Salto de Agua,1099
9,76,Salto de Agua,1101
9,76,Salto de Agua,1102
9,76,Salto de Agua,1103
9,76,Salto de Agua,1104
9,76,Salto de Agua,1105
9,76,Salto de Agua,1106
9,76,Salto de Agua,1107
9,76,Salto de Agua,1108
9,76,Salto de Agua,1109
9,76,Salto de Agua,1110
9,76,Salto de Agua,1111
9,76,Salto de Agua,1112
9,76,Salto de Agua,2219
9,76,Salto de Agua,2220
9,76,Salto de Agua,2221
9,76,Salto de Agua,2222
9,76,Salto de Agua,2223
10,11,Bella Vista,116
10,11,Bella Vista,117
10,11,Bella Vista,118
10,11,Bella Vista,119
10,11,Bella Vista,120
10,11,Bella Vista,121
10,11,Bella Vista,122
10,11,Bella Vista,123
10,11,Bella Vista,124
10,11,Bella Vista,125
10,11,Bella Vista,126
10,11,Bella Vista,127
10,11,Bella Vista,128
10,11,Bella Vista,129
10,30,Chicomuselo,439
10,30,Chicomuselo,440
10,30,Chicomuselo,441
10,30,Chicomuselo,442
10,30,Chicomuselo,443
10,30,Chicomuselo,444
10,30,Chicomuselo,445
10,30,Chicomuselo,446
10,30,Chicomuselo,447
10,30,Chicomuselo,448
10,30,Chicomuselo,449
10,30,Chicomuselo,450
10,30,Chicomuselo,451
10,30,Chicomuselo,452
10,30,Chicomuselo,453
10,30,Chicomuselo,454
10,30,Chicomuselo,455
10,34,Frontera Comalapa,505
10,34,Frontera Comalapa,506
10,34,Frontera Comalapa,508
10,34,Frontera Comalapa,509
10,34,Frontera Comalapa,510
10,34,Frontera Comalapa,511
10,34,Frontera Comalapa,512
10,34,Frontera Comalapa,513
10,34,Frontera Comalapa,514
10,34,Frontera Comalapa,515
10,34,Frontera Comalapa,516
10,34,Frontera Comalapa,517
10,34,Frontera Comalapa,518
10,34,Frontera Comalapa,519
10,34,Frontera Comalapa,520
10,34,Frontera Comalapa,521
10,34,Frontera Comalapa,522
10,34,Frontera Comalapa,523
10,34,Frontera Comalapa,524
10,34,Frontera Comalapa,525
10,34,Frontera Comalapa,526
10,34,Frontera Comalapa,527
10,34,Frontera Comalapa,528
10,34,Frontera Comalapa,529
10,34,Frontera Comalapa,530
10,34,Frontera Comalapa,531
10,34,Frontera Comalapa,2128
10,34,Frontera Comalapa,2129
10,34,Frontera Comalapa,2130
10,34,Frontera Comalapa,2308
10,34,Frontera Comalapa,2309
10,99,La Trinitaria,1532
10,99,La Trinitaria,1533
10,99,La Trinitaria,1534
10,99,La Trinitaria,1535
10,99,La Trinitaria,1536
10,99,La Trinitaria,1537
10,99,La Trinitaria,1538
10,99,La Trinitaria,1539
10,99,La Trinitaria,1540
10,99,La Trinitaria,1541
10,99,La Trinitaria,1542
10,99,La Trinitaria,1543
10,99,La Trinitaria,1544
10,99,La Trinitaria,1545
10,99,La Trinitaria,1546
10,99,La Trinitaria,1547
10,99,La Trinitaria,1548
10,99,La Trinitaria,1549
10,99,La Trinitaria,1550
10,99,La Trinitaria,1551
10,99,La Trinitaria,1552
10,99,La Trinitaria,1553
10,99,La Trinitaria,1554
10,99,La Trinitaria,1555
10,99,La Trinitaria,1556
10,99,La Trinitaria,1557
10,99,La Trinitaria,1558
10,99,La Trinitaria,1559
10,99,La Trinitaria,1560
10,99,La Trinitaria,1561
10,99,La Trinitaria,1562
10,99,La Trinitaria,1563
10,99,La Trinitaria,1564
10,99,La Trinitaria,1565
10,99,La Trinitaria,1566
10,99,La Trinitaria,1567
11,5,Amatán,44
11,5,Amatán,45
11,5,Amatán,46
11,5,Amatán,47
11,5,Amatán,48
11,5,Amatán,49
11,5,Amatán,50
11,5,Amatán,51
11,5,Amatán,52
11,5,Amatán,53
11,13,Bochil,144
11,13,Bochil,145
11,13,Bochil,146
11,13,Bochil,147
11,13,Bochil,148
11,13,Bochil,149
11,13,Bochil,150
11,13,Bochil,151
11,13,Bochil,152
11,13,Bochil,153
11,13,Bochil,154
11,18,Coapilla,234
11,18,Coapilla,235
11,18,Coapilla,236
11,18,Coapilla,237
11,18,Coapilla,238
11,42,Ixhuatán,617
11,42,Ixhuatán,618
11,42,Ixhuatán,619
11,42,Ixhuatán,620
11,47,Jitotol,662
11,47,Jitotol,663
11,47,Jitotol,664
11,47,Jitotol,665
11,47,Jitotol,666
11,47,Jitotol,668
11,47,Jitotol,2233
11,47,Jitotol,2234
11,60,Ocotepec,882
11,60,Ocotepec,883
11,60,Ocotepec,884
11,67,Pantepec,985
11,67,Pantepec,986
11,67,Pantepec,987
11,67,Pantepec,988
11,67,Pantepec,989
