Cve Mpio,Secc,Localidad,Manzana,Colonia tipo,Colonia,Listado NOminal Total,PRIO
61,887,1,38,,,46,NO
61,887,1,5,,,45,NO
61,887,1,35,,,44,NO
61,887,1,41,,,37,NO
61,887,1,9,,,34,NO
61,887,1,17,,,33,NO
61,887,1,25,,,33,NO
61,887,1,26,,,33,NO
61,887,1,10,,,32,NO
61,887,1,19,,,27,NO
61,887,1,34,,,27,NO
61,887,1,36,,,27,NO
61,887,1,74,,,27,NO
61,887,1,8,,,26,NO
61,887,1,31,,,26,NO
61,887,1,47,,,24,NO
61,887,1,24,,,22,NO
61,887,1,27,,,21,NO
61,887,1,73,,,20,NO
61,887,1,53,,,16,NO
61,887,1,23,,,15,NO
61,887,567,9999,,,11,NO
61,887,729,9999,,,11,NO
61,887,1,21,,,9,NO
61,887,1086,9999,,,9,NO
61,887,1,39,,,4,NO
61,887,1,43,,,3,NO
61,887,788,9999,,,3,NO
61,887,136,9999,,,2,NO
61,887,391,9999,,,1,NO
61,888,1,9,,,154,NO
61,888,1,22,,,143,NO
61,888,1,10,,,142,NO
61,888,1,25,,,142,NO
61,888,1,45,,,142,NO
61,888,1,8,,,126,NO
61,888,1,46,,,114,NO
61,888,1,27,,,111,NO
61,888,1,2,,,109,NO
61,888,1,47,,,108,NO
61,888,1,1,,,106,NO
61,888,1,7,,,101,NO
61,888,1,11,,,82,NO
61,888,1,6,,,77,NO
61,888,1,59,,,67,NO
61,888,1,35,,,65,NO
61,888,1,60,,,61,NO
61,888,1,20,,,60,NO
61,888,1,49,,,60,NO
61,888,1,51,,,53,NO
61,888,1,21,,,50,NO
61,888,1,26,,,49,NO
61,888,1,48,,,38,NO
61,888,1,55,,,37,NO
61,888,1,39,,,36,NO
61,888,1,52,,,36,NO
61,888,1,58,,,35,NO
61,888,1,30,,,34,NO
61,888,1,19,,,33,NO
61,888,1,23,,,33,NO
61,888,1,38,,,32,NO
61,888,1,57,,,32,NO
61,888,1,29,,,25,NO
61,888,1,53,,,25,NO
61,888,1,31,,,24,NO
61,888,1,54,,,23,NO
61,888,1,50,,,15,NO
61,888,1,12,,,14,NO
61,888,1,61,,,12,NO
61,888,1,56,,,9,NO
61,889,1,27,,,126,NO
61,889,1,19,,,104,NO
61,889,1,32,,,101,NO
61,889,1,18,,,93,NO
61,889,1,43,,,93,NO
61,889,1,35,,,88,NO
61,889,1,34,,,84,NO
61,889,1,26,,,80,NO
61,889,1,40,,,77,NO
61,889,1,7,,,70,NO
61,889,1,33,,,68,NO
61,889,1,36,,,67,NO
61,889,1,25,,,59,NO
61,889,1,8,,,56,NO
61,889,1,42,,,56,NO
61,889,1,44,,,50,NO
61,889,1,41,,,49,NO
61,889,1,4,,,47,NO
61,889,1,28,,,46,NO
61,889,1,20,,,44,NO
61,889,1,46,,,40,NO
61,889,1,24,,,39,NO
61,889,1,1,,,35,NO
61,889,1,17,,,35,NO
61,889,1,6,,,34,NO
61,889,1,14,,,32,NO
61,889,1,45,,,31,NO
61,889,1,16,,,28,NO
61,889,1,15,,,27,NO
61,889,1,5,,,24,NO
61,889,1,9,,,22,NO
61,889,1,3,,,20,NO
61,889,1,2,,,11,NO
61,889,1,47,,,1,NO
61,890,1122,9999,,,288,NO
61,890,1,16,,,100,NO
61,890,1,30,,,100,NO
61,890,1,28,,,98,NO
61,890,1,29,,,94,NO
61,890,1,15,,,87,NO
61,890,1,27,,,87,NO
61,890,1,18,,,81,NO
61,890,1,19,,,81,NO
61,890,1,31,,,81,NO
61,890,1,17,,,78,NO
61,890,1,7,,,70,NO
61,890,1,21,,,67,NO
61,890,1,33,,,67,NO
61,890,1,35,,,57,NO
61,890,1,9,,,55,NO
61,890,1,34,,,43,NO
61,890,1,32,,,42,NO
61,890,1,6,,,37,NO
61,890,1,22,,,36,NO
61,890,1122,12,,,36,NO
61,890,1122,16,,,36,NO
61,890,1122,23,,,36,NO
61,890,1122,14,,,34,NO
61,890,1,12,,,33,NO
61,890,1,10,,,32,NO
61,890,1122,24,,,32,NO
61,890,1,14,,,31,NO
61,890,1122,48,,,31,NO
61,890,1143,37,,,31,NO
61,890,1,20,,,30,NO
61,890,1,11,,,29,NO
61,890,1143,33,,,29,NO
61,890,1122,20,,,27,NO
61,890,1122,29,,,27,NO
61,890,1143,34,,,27,NO
61,890,1122,27,,,26,NO
61,890,1,8,,,25,NO
61,890,1122,18,,,24,NO
61,890,1122,22,,,23,NO
61,890,1122,28,,,22,NO
61,890,1143,35,,,22,NO
61,890,1122,5,,,20,NO
61,890,1143,4,,,20,NO
61,890,1122,4,,,19,NO
61,890,1122,7,,,19,NO
61,890,1122,10,,,18,NO
61,890,1122,26,,,18,NO
61,890,1122,51,,,18,NO
61,890,1122,6,,,17,NO
61,890,1122,3,,,16,NO
61,890,1122,30,,,15,NO
61,890,1143,5,,,15,NO
61,890,1122,8,,,13,NO
61,890,1000,9999,,,12,NO
61,890,1122,15,,,12,NO
61,890,1143,42,,,12,NO
61,890,1122,31,,,11,NO
61,890,1143,29,,,11,NO
61,890,1122,2,,,10,NO
61,890,1122,13,,,10,NO
61,890,1122,19,,,10,NO
61,890,1122,21,,,10,NO
61,890,1122,25,,,10,NO
61,890,1122,47,,,10,NO
61,890,1122,52,,,10,NO
61,890,1143,8,,,10,NO
61,890,1143,41,,,10,NO
61,890,1122,17,,,9,NO
61,890,1143,43,,,9,NO
61,890,1122,33,,,8,NO
61,890,1122,34,,,8,NO
61,890,1122,49,,,8,NO
61,890,1143,9,,,8,NO
61,890,1143,30,,,8,NO
61,890,1143,38,,,8,NO
61,890,1143,40,,,7,NO
61,890,1001,9999,,,6,NO
61,890,1122,1,,,6,NO
61,890,1122,11,,,6,NO
61,890,1122,32,,,6,NO
61,890,1143,3,,,6,NO
61,890,1143,25,,,6,NO
61,890,1143,26,,,6,NO
61,890,1,36,,,5,NO
61,890,1143,2,,,5,NO
61,890,1143,23,,,5,NO
61,890,1143,44,,,5,NO
61,890,1143,9999,,,5,NO
61,890,1122,50,,,4,NO
61,890,1143,32,,,4,NO
61,890,1143,45,,,4,NO
61,890,1,42,,,3,NO
61,890,103,9999,,,3,NO
61,890,1143,12,,,3,NO
61,890,1143,16,,,3,NO
61,890,1143,20,,,3,NO
61,890,1143,22,,,3,NO
61,890,1143,28,,,3,NO
61,890,1143,39,,,3,NO
61,890,1143,46,,,3,NO
61,890,1,40,,,2,NO
61,890,977,9999,,,2,NO
61,890,1143,13,,,2,NO
61,890,1143,18,,,2,NO
61,890,1143,21,,,2,NO
61,890,1143,24,,,2,NO
61,890,1143,31,,,2,NO
61,890,1143,47,,,2,NO
61,890,1,38,,,1,NO
61,890,1002,9999,,,1,NO
61,890,1122,41,,,1,NO
61,890,1143,1,,,1,NO
61,890,1143,6,,,1,NO
61,890,1143,10,,,1,NO
61,890,1143,15,,,1,NO
61,890,1143,14,,,0,NO
61,891,1,41,,,115,NO
61,891,1,25,,,113,NO
61,891,1,33,,,113,NO
61,891,1,34,,,109,NO
61,891,1,43,,,89,NO
61,891,1,35,,,85,NO
61,891,1,42,,,79,NO
61,891,1,27,,,76,NO
61,891,1,26,,,70,NO
61,891,1,17,,,67,NO
61,891,1,18,,,61,NO
61,891,1,15,,,46,NO
61,891,1,19,,,46,NO
61,891,1,16,,,42,NO
61,891,1,5,,,36,NO
61,891,1,14,,,35,NO
61,891,1,2,,,27,NO
61,891,1,6,,,26,NO
61,891,1,1,,,24,NO
61,891,1,4,,,24,NO
61,891,1,3,,,21,NO
61,892,1,69,,,402,SI
61,892,1,60,,,186,SI
61,892,1,29,,,130,SI
61,892,1,4,,,107,SI
61,892,1,61,,,104,SI
61,892,1,3,,,88,SI
61,892,1,5,,,86,SI
61,892,1,14,,,86,SI
61,892,1,15,,,85,SI
61,892,1,16,,,81,SI
61,892,1,63,,,81,SI
61,892,1,48,,,76,SI
61,892,1,58,,,75,NO
61,892,1,28,,,74,NO
61,892,1,62,,,63,NO
61,892,1094,9999,,,63,NO
61,892,1,51,,,60,NO
61,892,1,2,,,54,NO
61,892,1,17,,,54,NO
61,892,1,27,,,53,NO
61,892,1,64,,,53,NO
61,892,1,57,,,49,NO
61,892,1,13,,,45,NO
61,892,1,6,,,44,NO
61,892,1,68,,,44,NO
61,892,1,46,,,40,NO
61,892,1,34,,,39,NO
61,892,1,24,,,38,NO
61,892,1,40,,,38,NO
61,892,1,47,,,38,NO
61,892,1,12,,,34,NO
61,892,1,18,,,32,NO
61,892,1,23,,,32,NO
61,892,299,9999,,,31,NO
61,892,1,50,,,30,NO
61,892,1,22,,,28,NO
61,892,1,59,,,28,NO
61,892,145,9999,,,28,NO
61,892,1,11,,,27,NO
61,892,1,31,,,27,NO
61,892,1,32,,,26,NO
61,892,1,39,,,21,NO
61,892,1,30,,,18,NO
61,892,1,33,,,15,NO
61,892,163,9999,,,15,NO
61,892,1,7,,,14,NO
61,892,1,38,,,14,NO
61,892,1,1,,,9,NO
61,892,188,9999,,,9,NO
61,892,1087,9999,,,7,NO
61,892,1004,9999,,,6,NO
61,892,148,9999,,,5,NO
61,892,180,9999,,,5,NO
61,892,1021,9999,,,5,NO
61,892,1045,9999,,,5,NO
61,892,1046,9999,,,5,NO
61,892,1172,9999,,,5,NO
61,892,1005,9999,,,3,NO
61,892,1018,9999,,,3,NO
61,892,177,9999,,,2,NO
61,892,637,9999,,,2,NO
61,892,800,9999,,,2,NO
61,892,995,9999,,,2,NO
61,892,1019,9999,,,2,NO
61,892,226,9999,,,1,NO
61,892,480,9999,,,1,NO
61,892,953,9999,,,1,NO
61,892,996,9999,,,1,NO
61,892,1010,9999,,,1,NO
61,892,1011,9999,,,1,NO
61,892,1012,9999,,,1,NO
61,892,1014,9999,,,1,NO
61,892,1016,9999,,,1,NO
61,892,1017,9999,,,1,NO
61,892,1022,9999,,,1,NO
61,893,1,52,,,193,SI
61,893,1,63,,,144,SI
61,893,1,1,,,131,SI
61,893,1,44,,,127,SI
61,893,1,45,,,119,SI
61,893,1,66,,,118,SI
61,893,1,40,,,107,SI
61,893,1,33,,,103,SI
61,893,1,58,,,99,SI
61,893,1,43,,,98,SI
61,893,1,19,,,92,SI
61,893,1,51,,,92,SI
61,893,1,9,,,88,SI
61,893,1,46,,,86,SI
61,893,1,13,,,85,NO
61,893,1,60,,,85,NO
61,893,1,2,,,79,NO
61,893,1,70,,,71,NO
61,893,1,31,,,67,NO
61,893,1,42,,,66,NO
61,893,1,18,,,65,NO
61,893,1,6,,,61,NO
61,893,1,8,,,60,NO
61,893,1,4,,,59,NO
61,893,1,38,,,58,NO
61,893,1,11,,,55,NO
61,893,1,23,,,55,NO
61,893,1,16,,,54,NO
61,893,1,5,,,53,NO
61,893,1,41,,,49,NO
61,893,1,29,,,47,NO
61,893,1,61,,,47,NO
61,893,1,22,,,43,NO
61,893,1,28,,,43,NO
61,893,1,15,,,42,NO
61,893,1,37,,,41,NO
61,893,1,12,,,39,NO
61,893,1,17,,,37,NO
61,893,1,30,,,36,NO
61,893,1,39,,,31,NO
61,893,1,3,,,25,NO
61,893,1,7,,,21,NO
61,893,1,62,,,18,NO
61,893,1,47,,,10,NO
61,893,1,20,,,8,NO
61,893,1,21,,,3,NO
61,894,1,39,,,176,SI
61,894,1,9,,,173,SI
61,894,1,14,,,173,SI
61,894,1,4,,,159,SI
61,894,1,26,,,141,SI
61,894,1,11,,,130,SI
61,894,1,13,,,120,SI
61,894,1,17,,,108,SI
61,894,1,53,,,105,SI
61,894,1,18,,,99,SI
61,894,71,9999,,,99,SI
61,894,1,15,,,95,SI
61,894,1,35,,,95,SI
61,894,1,21,,,94,SI
61,894,1,19,,,93,SI
61,894,1,3,,,89,SI
61,894,1,23,,,84,SI
61,894,1,52,,,84,SI
61,894,798,9999,,,83,SI
61,894,1,34,,,82,SI
61,894,1,16,,,81,SI
61,894,1,40,,,80,SI
61,894,1,49,,,80,SI
61,894,1,47,,,77,SI
61,894,1,22,,,76,SI
61,894,1,5,,,73,SI
61,894,1,65,,,72,SI
61,894,1,101,,,71,SI
61,894,1,12,,,69,SI
61,894,1,10,,,68,NO
61,894,1,33,,,64,NO
61,894,1,88,,,64,NO
61,894,1,64,,,63,NO
61,894,1,20,,,62,NO
61,894,1,41,,,61,NO
61,894,1,48,,,61,NO
61,894,1,97,,,61,NO
61,894,1,38,,,60,NO
61,894,1,45,,,59,NO
61,894,1,36,,,58,NO
61,894,1,50,,,58,NO
61,894,1,1,,,57,NO
61,894,1,32,,,56,NO
61,894,1,37,,,55,NO
61,894,1,2,,,52,NO
61,894,1,25,,,52,NO
61,894,1,46,,,47,NO
61,894,1,31,,,46,NO
61,894,1,105,,,46,NO
61,894,1,6,,,45,NO
61,894,1,43,,,45,NO
61,894,1,63,,,45,NO
61,894,1,92,,,44,NO
61,894,1,24,,,43,NO
61,894,1,81,,,43,NO
61,894,1,66,,,42,NO
61,894,1,96,,,40,NO
61,894,1,90,,,39,NO
61,894,1,44,,,37,NO
61,894,1,107,,,37,NO
61,894,1,103,,,36,NO
61,894,1,28,,,35,NO
61,894,1,98,,,35,NO
61,894,1,70,,,34,NO
61,894,1,89,,,34,NO
61,894,1,93,,,34,NO
61,894,1,56,,,33,NO
61,894,1,57,,,33,NO
61,894,1,82,,,33,NO
61,894,1,68,,,32,NO
61,894,1,104,,,32,NO
61,894,1,29,,,31,NO
61,894,1,30,,,31,NO
61,894,1,42,,,31,NO
61,894,1,67,,,31,NO
61,894,1,76,,,31,NO
61,894,1,58,,,30,NO
61,894,1,75,,,29,NO
61,894,1,77,,,29,NO
61,894,1,60,,,28,NO
61,894,1,73,,,28,NO
61,894,1,72,,,25,NO
61,894,1,7,,,24,NO
61,894,1,109,,,24,NO
61,894,1,69,,,23,NO
61,894,1,71,,,23,NO
61,894,1,83,,,23,NO
61,894,1,55,,,22,NO
61,894,1,84,,,22,NO
61,894,743,5,,,22,NO
61,894,743,9,,,22,NO
61,894,1,74,,,21,NO
61,894,1,79,,,19,NO
61,894,1176,9999,,,19,NO
61,894,1,111,,,18,NO
61,894,1,62,,,17,NO
61,894,1,85,,,16,NO
61,894,1,106,,,16,NO
61,894,743,1,,,16,NO
61,894,1,54,,,14,NO
61,894,1,59,,,14,NO
61,894,1,80,,,14,NO
61,894,1,61,,,13,NO
61,894,1,99,,,13,NO
61,894,1,51,,,12,NO
61,894,743,11,,,12,NO
61,894,1,91,,,11,NO
61,894,1,133,,,11,NO
61,894,533,9999,,,11,NO
61,894,743,13,,,11,NO
61,894,1,129,,,10,NO
61,894,743,12,,,10,NO
61,894,1,86,,,9,NO
61,894,743,8,,,7,NO
61,894,464,9999,,,6,NO
61,894,743,7,,,6,NO
61,894,1,114,,,5,NO
61,894,1,117,,,5,NO
61,894,348,9999,,,5,NO
61,894,743,4,,,5,NO
61,894,1,108,,,4,NO
61,894,1,113,,,4,NO
61,894,518,9999,,,4,NO
61,894,743,2,,,4,NO
61,894,1039,9999,,,4,NO
61,894,743,3,,,3,NO
61,894,743,6,,,3,NO
61,894,743,10,,,3,NO
61,894,1023,9999,,,3,NO
61,894,1031,9999,,,3,NO
61,894,1034,9999,,,3,NO
61,894,1142,9999,,,3,NO
61,894,1,115,,,2,NO
61,894,1,116,,,2,NO
61,894,1,131,,,2,NO
61,894,1,132,,,2,NO
61,894,67,9999,,,2,NO
61,894,431,9999,,,2,NO
61,894,1114,9999,,,2,NO
61,894,1115,9999,,,2,NO
61,894,602,9999,,,1,NO
61,894,1037,9999,,,1,NO
61,894,1043,9999,,,1,NO
61,894,1180,9999,,,1,NO
61,895,1,49,,,271,SI
61,895,1,7,,,255,SI
61,895,1,16,,,255,SI
61,895,1,47,,,181,SI
61,895,1,48,,,160,SI
61,895,1,60,,,150,SI
61,895,1,61,,,118,SI
61,895,1,55,,,113,SI
61,895,1,56,,,108,SI
61,895,1,50,,,107,SI
61,895,1,39,,,105,SI
61,895,1,57,,,98,SI
61,895,1,24,,,97,SI
61,895,1,69,,,96,SI
61,895,1,34,,,95,SI
61,895,1,26,,,92,SI
61,895,1,65,,,91,SI
61,895,1,21,,,90,SI
61,895,1,10,,,87,SI
61,895,1,88,,,83,SI
61,895,1,40,,,82,NO
61,895,1,42,,,77,NO
61,895,1,85,,,75,NO
61,895,1,19,,,74,NO
61,895,1,2,,,70,NO
61,895,1,4,,,68,NO
61,895,1,54,,,68,NO
61,895,1,3,,,65,NO
61,895,1,45,,,65,NO
61,895,1,38,,,63,NO
61,895,1,13,,,61,NO
61,895,1,23,,,59,NO
61,895,1,66,,,57,NO
61,895,1,31,,,56,NO
61,895,1,53,,,55,NO
61,895,1,12,,,53,NO
61,895,1,84,,,53,NO
61,895,1,70,,,52,NO
61,895,1,79,,,52,NO
61,895,1,58,,,49,NO
61,895,1,67,,,49,NO
61,895,1,9,,,47,NO
61,895,1,11,,,47,NO
61,895,1,52,,,47,NO
61,895,1,6,,,46,NO
61,895,1,1,,,45,NO
61,895,1,46,,,45,NO
61,895,1,30,,,44,NO
61,895,1,86,,,44,NO
61,895,1,29,,,43,NO
61,895,1,35,,,43,NO
61,895,1,5,,,42,NO
61,895,1,15,,,42,NO
61,895,1,37,,,42,NO
61,895,1,74,,,42,NO
61,895,1,28,,,39,NO
61,895,1,43,,,39,NO
61,895,1,64,,,38,NO
61,895,1,44,,,37,NO
61,895,1,41,,,36,NO
61,895,1,59,,,36,NO
61,895,1,87,,,35,NO
61,895,1,36,,,33,NO
61,895,1,51,,,32,NO
61,895,1,73,,,32,NO
61,895,1,18,,,29,NO
61,895,1,68,,,28,NO
61,895,1,103,,,28,NO
61,895,1,32,,,24,NO
61,895,1,96,,,24,NO
61,895,1,14,,,21,NO
61,895,1,20,,,20,NO
61,895,1,33,,,20,NO
61,895,1,81,,,19,NO
61,895,1,92,,,19,NO
61,895,1,93,,,19,NO
61,895,1,27,,,18,NO
61,895,1,25,,,15,NO
61,895,1,105,,,14,NO
61,895,1,91,,,11,NO
61,895,1,80,,,10,NO
61,895,1,90,,,8,NO
61,895,1,94,,,8,NO
61,895,1,89,,,7,NO
61,895,1,71,,,5,NO
61,895,1,77,,,5,NO
61,895,1,95,,,5,NO
61,895,1,72,,,3,NO
61,895,1,76,,,2,NO
61,895,1,75,,,1,NO
61,895,1,104,,,1,NO
61,896,309,9999,,,325,NO
61,896,714,9999,,,241,NO
61,896,308,9999,,,190,NO
61,896,25,9999,,,172,NO
61,896,1140,9999,,,53,NO
61,896,991,9999,,,51,NO
61,896,974,9999,,,23,NO
61,896,237,9999,,,15,NO
61,897,261,9999,,,311,SI
61,897,358,9999,,,246,SI
61,897,295,9999,,,222,SI
61,897,47,9999,,,171,SI
61,897,206,9999,,,169,SI
61,897,543,9999,,,142,SI
61,897,26,4,,,124,SI
61,897,26,2,,,122,SI
61,897,369,9999,,,121,SI
61,897,621,9999,,,105,NO
61,897,887,9999,,,97,NO
61,897,26,9,,,90,NO
61,897,26,6,,,83,NO
61,897,1100,9999,,,69,NO
61,897,26,1,,,65,NO
61,897,1108,9999,,,62,NO
61,897,123,22,,,48,NO
61,897,123,18,,,42,NO
61,897,1110,9999,,,42,NO
61,897,123,16,,,40,NO
61,897,123,12,,,32,NO
61,897,123,40,,,31,NO
61,897,26,8,,,30,NO
61,897,123,14,,,30,NO
61,897,123,28,,,30,NO
61,897,123,30,,,29,NO
61,897,123,17,,,26,NO
61,897,123,11,,,25,NO
61,897,123,9,,,24,NO
61,897,123,26,,,24,NO
61,897,123,29,,,24,NO
61,897,26,3,,,23,NO
61,897,123,1,,,22,NO
61,897,123,13,,,22,NO
61,897,123,38,,,22,NO
61,897,123,25,,,20,NO
61,897,123,27,,,20,NO
61,897,1159,9999,,,20,NO
61,897,26,7,,,19,NO
61,897,123,37,,,19,NO
61,897,123,19,,,18,NO
61,897,503,9999,,,18,NO
61,897,123,4,,,17,NO
61,897,123,15,,,17,NO
61,897,123,36,,,17,NO
61,897,123,10,,,16,NO
61,897,123,2,,,15,NO
61,897,123,5,,,15,NO
61,897,123,35,,,15,NO
61,897,123,39,,,15,NO
61,897,123,41,,,15,NO
61,897,123,3,,,14,NO
61,897,123,7,,,13,NO
61,897,123,8,,,12,NO
61,897,123,20,,,11,NO
61,897,123,31,,,11,NO
61,897,123,34,,,11,NO
61,897,123,32,,,9,NO
61,897,123,6,,,4,NO
61,897,123,9999,,,4,NO
61,897,339,9999,,,2,NO
61,898,694,9999,,,364,SI
61,898,124,9999,,,239,SI
61,898,263,1,,,175,SI
61,898,911,9999,,,170,SI
61,898,713,9999,,,155,SI
61,898,263,2,,,146,SI
61,898,428,9999,,,142,SI
61,898,1120,9999,,,134,SI
61,898,44,9999,,,127,SI
61,898,122,9999,,,97,NO
61,898,932,9999,,,89,NO
61,898,263,5,,,84,NO
61,898,263,4,,,68,NO
61,898,909,9999,,,64,NO
61,898,972,9999,,,64,NO
61,898,263,3,,,57,NO
61,898,405,9999,,,54,NO
61,898,654,9999,,,51,NO
61,898,895,9999,,,51,NO
61,898,1177,9999,,,48,NO
61,898,966,9999,,,43,NO
61,898,1075,9999,,,43,NO
61,898,865,9999,,,42,NO
61,898,1096,9999,,,38,NO
61,898,720,9999,,,32,NO
61,898,893,9999,,,32,NO
61,898,861,9999,,,31,NO
61,898,831,9999,,,29,NO
61,898,1127,9999,,,29,NO
61,898,965,9999,,,27,NO
61,898,687,9999,,,25,NO
61,898,1145,9999,,,25,NO
61,898,1144,9999,,,23,NO
61,898,1128,9999,,,19,NO
61,898,260,17,,,16,NO
61,898,260,19,,,15,NO
61,898,340,9999,,,15,NO
61,898,1174,9999,,,14,NO
61,898,260,15,,,13,NO
61,898,260,16,,,11,NO
61,898,260,20,,,11,NO
61,898,260,21,,,11,NO
61,898,866,9999,,,11,NO
61,898,260,22,,,10,NO
61,898,260,4,,,8,NO
61,898,260,8,,,8,NO
61,898,260,12,,,8,NO
61,898,260,13,,,8,NO
61,898,260,23,,,8,NO
61,898,260,5,,,7,NO
61,898,260,14,,,7,NO
61,898,260,18,,,7,NO
61,898,260,26,,,7,NO
61,898,929,9999,,,7,NO
61,898,187,9999,,,5,NO
61,898,260,7,,,5,NO
61,898,837,9999,,,5,NO
61,898,886,9999,,,5,NO
61,898,943,9999,,,5,NO
61,898,121,9999,,,4,NO
61,898,260,1,,,4,NO
61,898,260,11,,,4,NO
61,898,260,9999,,,4,NO
61,898,826,9999,,,4,NO
61,898,956,9999,,,4,NO
61,898,260,2,,,3,NO
61,898,869,9999,,,3,NO
61,898,872,9999,,,3,NO
61,898,541,9999,,,2,NO
61,898,586,9999,,,2,NO
61,898,868,9999,,,2,NO
61,898,878,9999,,,2,NO
61,898,29,9999,,,1,NO
61,898,260,9,,,1,NO
61,898,260,24,,,1,NO
61,898,260,25,,,1,NO
61,898,263,6,,,1,NO
61,898,830,9999,,,1,NO
61,898,871,9999,,,1,NO
61,898,894,9999,,,1,NO
61,898,896,9999,,,1,NO
61,898,971,9999,,,1,NO
61,899,374,9999,,,353,NO
61,899,126,9999,,,164,NO
61,899,170,9999,,,138,NO
61,899,371,8,,,92,NO
61,899,371,4,,,75,NO
61,899,735,9999,,,67,NO
61,899,171,9999,,,49,NO
61,899,39,7,,,45,NO
61,899,153,9999,,,45,NO
61,899,371,13,,,42,NO
61,899,371,15,,,42,NO
61,899,551,9999,,,37,NO
61,899,371,9,,,36,NO
61,899,39,9,,,35,NO
61,899,371,12,,,35,NO
61,899,371,11,,,31,NO
61,899,39,3,,,29,NO
61,899,39,10,,,29,NO
61,899,371,14,,,27,NO
61,899,371,6,,,26,NO
61,899,39,2,,,25,NO
